NAME,B01003_001E,B19013_001E,state,county,tract
Census Tract 1000.01; Harris County; Texas,5442,98668,48,201,100001
Census Tract 2104; Harris County; Texas,3908,44821,48,201,210400
Census Tract 2105; Harris County; Texas,4624,48837,48,201,210500
Census Tract 2106; Harris County; Texas,5355,82321,48,201,210600
Census Tract 2107; Harris County; Texas,2215,51966,48,201,210700
Census Tract 2108; Harris County; Texas,2087,39153,48,201,210800
Census Tract 2109; Harris County; Texas,1857,47117,48,201,210900
Census Tract 2110; Harris County; Texas,1853,31667,48,201,211000
Census Tract 2111.01; Harris County; Texas,2426,39120,48,201,211101
Census Tract 2111.02; Harris County; Texas,2297,27844,48,201,211102
Census Tract 2112; Harris County; Texas,2393,22982,48,201,211200
Census Tract 2113.01; Harris County; Texas,2733,40991,48,201,211301
Census Tract 2113.02; Harris County; Texas,2807,39871,48,201,211302
Census Tract 2114; Harris County; Texas,4226,74318,48,201,211400
Census Tract 2115.01; Harris County; Texas,3400,51979,48,201,211501
Census Tract 2115.02; Harris County; Texas,2613,54900,48,201,211502
Census Tract 2116; Harris County; Texas,2991,47143,48,201,211600
Census Tract 2117; Harris County; Texas,3530,32240,48,201,211700
Census Tract 2119; Harris County; Texas,4601,49050,48,201,211900
Census Tract 2123; Harris County; Texas,5128,62813,48,201,212300
Census Tract 2124; Harris County; Texas,3077,40516,48,201,212400
Census Tract 2125; Harris County; Texas,3495,54966,48,201,212500
Census Tract 2201; Harris County; Texas,1400,43583,48,201,220100
Census Tract 2202; Harris County; Texas,2345,45833,48,201,220200
Census Tract 2203; Harris County; Texas,3840,53792,48,201,220300
Census Tract 2204; Harris County; Texas,4544,50086,48,201,220400
Census Tract 2205; Harris County; Texas,3671,19877,48,201,220500
Census Tract 2206; Harris County; Texas,3252,36905,48,201,220600
Census Tract 2207.01; Harris County; Texas,3088,43889,48,201,220701
Census Tract 2207.02; Harris County; Texas,3560,31083,48,201,220702
Census Tract 2208; Harris County; Texas,3782,34512,48,201,220800
Census Tract 2209; Harris County; Texas,1836,22412,48,201,220900
Census Tract 2210; Harris County; Texas,3469,41985,48,201,221000
Census Tract 2211; Harris County; Texas,3464,56993,48,201,221100
Census Tract 2212; Harris County; Texas,5655,46832,48,201,221200
Census Tract 2213.01; Harris County; Texas,4057,66289,48,201,221301
Census Tract 2213.02; Harris County; Texas,3307,51221,48,201,221302
Census Tract 2214; Harris County; Texas,5588,33441,48,201,221400
Census Tract 2215.01; Harris County; Texas,5513,54070,48,201,221501
Census Tract 2215.02; Harris County; Texas,2920,32625,48,201,221502
Census Tract 2216.01; Harris County; Texas,3346,60380,48,201,221601
Census Tract 2216.02; Harris County; Texas,5349,63893,48,201,221602
Census Tract 2217.01; Harris County; Texas,5238,42078,48,201,221701
Census Tract 2217.02; Harris County; Texas,3031,36054,48,201,221702
Census Tract 2218; Harris County; Texas,3925,50945,48,201,221800
Census Tract 2219; Harris County; Texas,5267,59122,48,201,221900
Census Tract 2220; Harris County; Texas,2158,38281,48,201,222000
Census Tract 2221; Harris County; Texas,4865,41759,48,201,222100
Census Tract 2222; Harris County; Texas,3196,58024,48,201,222200
Census Tract 2223; Harris County; Texas,4987,38770,48,201,222300
Census Tract 2224.01; Harris County; Texas,3052,41125,48,201,222401
Census Tract 2224.02; Harris County; Texas,6837,41671,48,201,222402
Census Tract 2225.01; Harris County; Texas,3188,38333,48,201,222501
Census Tract 2225.02; Harris County; Texas,3825,52987,48,201,222502
Census Tract 2225.04; Harris County; Texas,3292,38977,48,201,222504
Census Tract 2225.05; Harris County; Texas,3239,70060,48,201,222505
Census Tract 2226.01; Harris County; Texas,2146,33689,48,201,222601
Census Tract 2226.02; Harris County; Texas,2329,29722,48,201,222602
Census Tract 2227.01; Harris County; Texas,2779,11592,48,201,222701
Census Tract 2227.02; Harris County; Texas,3828,26653,48,201,222702
Census Tract 2228; Harris County; Texas,4160,39241,48,201,222800
Census Tract 2229; Harris County; Texas,8286,53672,48,201,222900
Census Tract 2230.01; Harris County; Texas,3845,47768,48,201,223001
Census Tract 2230.02; Harris County; Texas,3073,40150,48,201,223002
Census Tract 2231; Harris County; Texas,2274,64655,48,201,223100
Census Tract 2301; Harris County; Texas,1661,50357,48,201,230100
Census Tract 2302; Harris County; Texas,4857,36609,48,201,230200
Census Tract 2303; Harris County; Texas,2085,43519,48,201,230300
Census Tract 2304; Harris County; Texas,4092,59688,48,201,230400
Census Tract 2305; Harris County; Texas,3487,37386,48,201,230500
Census Tract 2306; Harris County; Texas,2708,34145,48,201,230600
Census Tract 2307; Harris County; Texas,2934,36445,48,201,230700
Census Tract 2308; Harris County; Texas,2373,45260,48,201,230800
Census Tract 2309; Harris County; Texas,4409,30088,48,201,230900
Census Tract 2310; Harris County; Texas,5644,45050,48,201,231000
Census Tract 2311; Harris County; Texas,5521,31875,48,201,231100
Census Tract 2312; Harris County; Texas,5965,35199,48,201,231200
Census Tract 2313; Harris County; Texas,5171,48560,48,201,231300
Census Tract 2314; Harris County; Texas,3123,45479,48,201,231400
Census Tract 2315; Harris County; Texas,3047,50319,48,201,231500
Census Tract 2316; Harris County; Texas,3171,41760,48,201,231600
Census Tract 2317; Harris County; Texas,4517,41731,48,201,231700
Census Tract 2318; Harris County; Texas,3146,57198,48,201,231800
Census Tract 2319; Harris County; Texas,6618,41331,48,201,231900
Census Tract 2320; Harris County; Texas,4410,39693,48,201,232000
Census Tract 2321; Harris County; Texas,3563,42374,48,201,232100
Census Tract 2322.01; Harris County; Texas,6732,57449,48,201,232201
Census Tract 2322.02; Harris County; Texas,5283,185611,48,201,232202
Census Tract 2322.03; Harris County; Texas,6428,70180,48,201,232203
Census Tract 2323.03; Harris County; Texas,5431,54908,48,201,232303
Census Tract 2323.04; Harris County; Texas,7453,45694,48,201,232304
Census Tract 2323.05; Harris County; Texas,11504,89591,48,201,232305
Census Tract 2323.06; Harris County; Texas,4029,103191,48,201,232306
Census Tract 2324.02; Harris County; Texas,4607,58537,48,201,232402
Census Tract 2324.03; Harris County; Texas,4142,54886,48,201,232403
Census Tract 2324.04; Harris County; Texas,3562,77560,48,201,232404
Census Tract 2324.05; Harris County; Texas,5961,79344,48,201,232405
Census Tract 2325; Harris County; Texas,4450,41813,48,201,232500
Census Tract 2326; Harris County; Texas,2354,68254,48,201,232600
Census Tract 2327.01; Harris County; Texas,7379,38835,48,201,232701
Census Tract 2327.03; Harris County; Texas,2545,53458,48,201,232703
Census Tract 2327.04; Harris County; Texas,1823,51842,48,201,232704
Census Tract 2328.01; Harris County; Texas,2671,69492,48,201,232801
Census Tract 2328.02; Harris County; Texas,2907,54519,48,201,232802
Census Tract 2329.01; Harris County; Texas,4743,58355,48,201,232901
Census Tract 2329.02; Harris County; Texas,4669,61457,48,201,232902
Census Tract 2330.01; Harris County; Texas,4287,43542,48,201,233001
Census Tract 2330.02; Harris County; Texas,4142,79444,48,201,233002
Census Tract 2330.03; Harris County; Texas,2755,65256,48,201,233003
Census Tract 2331.01; Harris County; Texas,4502,47654,48,201,233101
Census Tract 2331.03; Harris County; Texas,5212,49380,48,201,233103
Census Tract 2331.04; Harris County; Texas,2544,45284,48,201,233104
Census Tract 2331.05; Harris County; Texas,4871,48750,48,201,233105
Census Tract 2332; Harris County; Texas,6156,61491,48,201,233200
Census Tract 2333; Harris County; Texas,4637,62973,48,201,233300
Census Tract 2334; Harris County; Texas,2787,42601,48,201,233400
Census Tract 2335.01; Harris County; Texas,3493,62720,48,201,233501
Census Tract 2335.02; Harris County; Texas,3178,71006,48,201,233502
Census Tract 2336; Harris County; Texas,2113,36218,48,201,233600
Census Tract 2337.01; Harris County; Texas,4515,55975,48,201,233701
Census Tract 2337.02; Harris County; Texas,3215,42750,48,201,233702
Census Tract 2337.03; Harris County; Texas,2672,54375,48,201,233703
Census Tract 2401.01; Harris County; Texas,2295,37238,48,201,240101
Census Tract 2401.02; Harris County; Texas,1553,33025,48,201,240102
Census Tract 2404; Harris County; Texas,7919,59000,48,201,240400
Census Tract 2405.03; Harris County; Texas,2863,40651,48,201,240503
Census Tract 2405.04; Harris County; Texas,3223,26818,48,201,240504
Census Tract 2405.05; Harris County; Texas,1375,21824,48,201,240505
Census Tract 2405.06; Harris County; Texas,5613,41536,48,201,240506
Census Tract 2406; Harris County; Texas,3638,31816,48,201,240600
Census Tract 2407.03; Harris County; Texas,5784,65445,48,201,240703
Census Tract 2407.04; Harris County; Texas,4348,106667,48,201,240704
Census Tract 2407.05; Harris County; Texas,4625,96084,48,201,240705
Census Tract 2407.06; Harris County; Texas,10532,67205,48,201,240706
Census Tract 2407.07; Harris County; Texas,5206,90380,48,201,240707
Census Tract 2408.02; Harris County; Texas,8670,70891,48,201,240802
Census Tract 2408.03; Harris County; Texas,2912,48844,48,201,240803
Census Tract 2408.04; Harris County; Texas,2895,47566,48,201,240804
Census Tract 2409.03; Harris County; Texas,6429,86797,48,201,240903
Census Tract 2409.04; Harris County; Texas,9548,77576,48,201,240904
Census Tract 2409.05; Harris County; Texas,5379,85000,48,201,240905
Census Tract 2409.06; Harris County; Texas,8096,94133,48,201,240906
Census Tract 2410.01; Harris County; Texas,3982,73566,48,201,241001
Census Tract 2410.02; Harris County; Texas,5316,78694,48,201,241002
Census Tract 2411.01; Harris County; Texas,4847,79728,48,201,241101
Census Tract 2411.03; Harris County; Texas,4606,88482,48,201,241103
Census Tract 2411.04; Harris County; Texas,9851,92278,48,201,241104
Census Tract 2411.05; Harris County; Texas,5832,80313,48,201,241105
Census Tract 2412.01; Harris County; Texas,3234,72983,48,201,241201
Census Tract 2412.02; Harris County; Texas,6642,75765,48,201,241202
Census Tract 2413.01; Harris County; Texas,4770,120833,48,201,241301
Census Tract 2413.02; Harris County; Texas,8665,107137,48,201,241302
Census Tract 2414; Harris County; Texas,10453,93777,48,201,241400
Census Tract 2415.01; Harris County; Texas,4045,41771,48,201,241501
Census Tract 2415.02; Harris County; Texas,2281,29821,48,201,241502
Census Tract 2415.03; Harris County; Texas,2570,51076,48,201,241503
Census Tract 2501.01; Harris County; Texas,4189,66559,48,201,250101
Census Tract 2501.02; Harris County; Texas,5488,87426,48,201,250102
Census Tract 2502.01; Harris County; Texas,6456,60470,48,201,250201
Census Tract 2502.02; Harris County; Texas,2378,73611,48,201,250202
Census Tract 2503.03; Harris County; Texas,3313,130842,48,201,250303
Census Tract 2503.04; Harris County; Texas,10195,92729,48,201,250304
Census Tract 2503.05; Harris County; Texas,5494,90000,48,201,250305
Census Tract 2503.06; Harris County; Texas,3415,76917,48,201,250306
Census Tract 2504.03; Harris County; Texas,4149,62193,48,201,250403
Census Tract 2504.04; Harris County; Texas,4825,128750,48,201,250404
Census Tract 2504.05; Harris County; Texas,10112,115744,48,201,250405
Census Tract 2504.06; Harris County; Texas,4849,123076,48,201,250406
Census Tract 2504.07; Harris County; Texas,10141,181851,48,201,250407
Census Tract 2504.08; Harris County; Texas,14195,107831,48,201,250408
Census Tract 2505; Harris County; Texas,5514,78529,48,201,250500
Census Tract 2506.01; Harris County; Texas,3030,46524,48,201,250601
Census Tract 2506.02; Harris County; Texas,4615,42738,48,201,250602
Census Tract 2507.01; Harris County; Texas,7287,112664,48,201,250701
Census Tract 2507.02; Harris County; Texas,4301,113186,48,201,250702
Census Tract 2508.01; Harris County; Texas,3160,111397,48,201,250801
Census Tract 2508.02; Harris County; Texas,4634,131705,48,201,250802
Census Tract 2509.01; Harris County; Texas,4022,97010,48,201,250901
Census Tract 2509.02; Harris County; Texas,5710,203333,48,201,250902
Census Tract 2510; Harris County; Texas,3147,90594,48,201,251000
Census Tract 2511; Harris County; Texas,6926,100208,48,201,251100
Census Tract 2512; Harris County; Texas,5928,81017,48,201,251200
Census Tract 2513; Harris County; Texas,7155,131667,48,201,251300
Census Tract 2514.01; Harris County; Texas,3050,123673,48,201,251401
Census Tract 2514.02; Harris County; Texas,6652,58902,48,201,251402
Census Tract 2515.01; Harris County; Texas,5822,169831,48,201,251501
Census Tract 2515.03; Harris County; Texas,2758,137031,48,201,251503
Census Tract 2515.04; Harris County; Texas,5524,160326,48,201,251504
Census Tract 2515.05; Harris County; Texas,4197,152857,48,201,251505
Census Tract 2516; Harris County; Texas,7209,90539,48,201,251600
Census Tract 2517.01; Harris County; Texas,3494,63413,48,201,251701
Census Tract 2517.02; Harris County; Texas,3594,75219,48,201,251702
Census Tract 2518; Harris County; Texas,1731,76563,48,201,251800
Census Tract 2519.02; Harris County; Texas,7653,106906,48,201,251902
Census Tract 2519.03; Harris County; Texas,4174,103611,48,201,251903
Census Tract 2519.04; Harris County; Texas,7100,107078,48,201,251904
Census Tract 2520.01; Harris County; Texas,8216,96832,48,201,252001
Census Tract 2520.02; Harris County; Texas,5859,117734,48,201,252002
Census Tract 2520.03; Harris County; Texas,10107,164646,48,201,252003
Census Tract 2521; Harris County; Texas,3147,67303,48,201,252100
Census Tract 2522.01; Harris County; Texas,5321,71328,48,201,252201
Census Tract 2522.02; Harris County; Texas,6995,74068,48,201,252202
Census Tract 2523.03; Harris County; Texas,5189,89946,48,201,252303
Census Tract 2523.04; Harris County; Texas,3750,65582,48,201,252304
Census Tract 2523.05; Harris County; Texas,6164,107054,48,201,252305
Census Tract 2523.06; Harris County; Texas,11000,67518,48,201,252306
Census Tract 2524; Harris County; Texas,6446,62831,48,201,252400
Census Tract 2525; Harris County; Texas,4777,54158,48,201,252500
Census Tract 2526.01; Harris County; Texas,3261,41048,48,201,252601
Census Tract 2526.02; Harris County; Texas,4096,43734,48,201,252602
Census Tract 2527; Harris County; Texas,4797,70625,48,201,252700
Census Tract 2528; Harris County; Texas,6294,62273,48,201,252800
Census Tract 2529.01; Harris County; Texas,2249,46875,48,201,252901
Census Tract 2529.02; Harris County; Texas,6365,71474,48,201,252902
Census Tract 2530; Harris County; Texas,4902,53970,48,201,253000
Census Tract 2531.01; Harris County; Texas,5876,90766,48,201,253101
Census Tract 2531.02; Harris County; Texas,6367,97754,48,201,253102
Census Tract 2532.01; Harris County; Texas,6565,129611,48,201,253201
Census Tract 2532.02; Harris County; Texas,5496,70826,48,201,253202
Census Tract 2533; Harris County; Texas,3732,96205,48,201,253300
Census Tract 2535.01; Harris County; Texas,8833,66080,48,201,253501
Census Tract 2535.02; Harris County; Texas,3448,66489,48,201,253502
Census Tract 2536.01; Harris County; Texas,4150,91433,48,201,253601
Census Tract 2536.02; Harris County; Texas,3853,41701,48,201,253602
Census Tract 2537; Harris County; Texas,6185,64875,48,201,253700
Census Tract 2538; Harris County; Texas,8019,48804,48,201,253800
Census Tract 2539; Harris County; Texas,3756,64621,48,201,253900
Census Tract 2540; Harris County; Texas,3569,52636,48,201,254000
Census Tract 2541; Harris County; Texas,5829,59539,48,201,254100
Census Tract 2542; Harris County; Texas,2620,54375,48,201,254200
Census Tract 2543; Harris County; Texas,5562,51477,48,201,254300
Census Tract 2544; Harris County; Texas,2508,47704,48,201,254400
Census Tract 2546; Harris County; Texas,3506,59743,48,201,254600
Census Tract 2547; Harris County; Texas,2404,61250,48,201,254700
Census Tract 2548; Harris County; Texas,2459,44167,48,201,254800
Census Tract 3101.01; Harris County; Texas,2917,93898,48,201,310101
Census Tract 3101.02; Harris County; Texas,2281,86250,48,201,310102
Census Tract 3102; Harris County; Texas,2054,132488,48,201,310200
Census Tract 3103; Harris County; Texas,4071,37468,48,201,310300
Census Tract 3104; Harris County; Texas,2922,54230,48,201,310400
Census Tract 3105; Harris County; Texas,3544,40360,48,201,310500
Census Tract 3106; Harris County; Texas,4736,48750,48,201,310600
Census Tract 3107; Harris County; Texas,3664,57935,48,201,310700
Census Tract 3108; Harris County; Texas,3126,52654,48,201,310800
Census Tract 3109; Harris County; Texas,4520,44330,48,201,310900
Census Tract 3110.01; Harris County; Texas,2829,59896,48,201,311001
Census Tract 3110.02; Harris County; Texas,3316,65046,48,201,311002
Census Tract 3111; Harris County; Texas,4832,44006,48,201,311100
Census Tract 3112; Harris County; Texas,4421,64258,48,201,311200
Census Tract 3113; Harris County; Texas,3999,65702,48,201,311300
Census Tract 3114; Harris County; Texas,1516,42417,48,201,311400
Census Tract 3115.01; Harris County; Texas,2253,59875,48,201,311501
Census Tract 3115.02; Harris County; Texas,3154,50667,48,201,311502
Census Tract 3116; Harris County; Texas,3859,43958,48,201,311600
Census Tract 3117.01; Harris County; Texas,3529,63183,48,201,311701
Census Tract 3117.02; Harris County; Texas,2189,29265,48,201,311702
Census Tract 3118; Harris County; Texas,3972,45316,48,201,311800
Census Tract 3119; Harris County; Texas,1497,54375,48,201,311900
Census Tract 3120; Harris County; Texas,3412,62235,48,201,312000
Census Tract 3122; Harris County; Texas,1589,-666666666,48,201,312200
Census Tract 3123; Harris County; Texas,2575,77194,48,201,312300
Census Tract 3124; Harris County; Texas,1786,-666666666,48,201,312400
Census Tract 3125.01; Harris County; Texas,2951,158958,48,201,312501
Census Tract 3125.02; Harris County; Texas,2195,98147,48,201,312502
Census Tract 3126.01; Harris County; Texas,3664,82060,48,201,312601
Census Tract 3126.02; Harris County; Texas,2479,160592,48,201,312602
Census Tract 3126.03; Harris County; Texas,3727,75635,48,201,312603
Census Tract 3127; Harris County; Texas,2100,90000,48,201,312700
Census Tract 3128; Harris County; Texas,3629,14000,48,201,312800
Census Tract 3129.01; Harris County; Texas,2118,25764,48,201,312901
Census Tract 3129.02; Harris County; Texas,2294,36830,48,201,312902
Census Tract 3130; Harris County; Texas,2575,62927,48,201,313000
Census Tract 3131.01; Harris County; Texas,2520,99375,48,201,313101
Census Tract 3131.02; Harris County; Texas,1764,74635,48,201,313102
Census Tract 3132.01; Harris County; Texas,1588,70526,48,201,313201
Census Tract 3132.02; Harris County; Texas,2445,83250,48,201,313202
Census Tract 3133; Harris County; Texas,2508,33350,48,201,313300
Census Tract 3134; Harris County; Texas,3598,39382,48,201,313400
Census Tract 3135; Harris County; Texas,1870,28625,48,201,313500
Census Tract 3136; Harris County; Texas,4373,28961,48,201,313600
Census Tract 3137; Harris County; Texas,2100,47964,48,201,313700
Census Tract 3138.01; Harris County; Texas,1686,19821,48,201,313801
Census Tract 3138.02; Harris County; Texas,1995,45461,48,201,313802
Census Tract 3139.01; Harris County; Texas,3125,63950,48,201,313901
Census Tract 3139.02; Harris County; Texas,2897,62550,48,201,313902
Census Tract 3140.01; Harris County; Texas,2936,67969,48,201,314001
Census Tract 3140.03; Harris County; Texas,2638,53149,48,201,314003
Census Tract 3140.04; Harris County; Texas,2065,44737,48,201,314004
Census Tract 3140.05; Harris County; Texas,2517,45451,48,201,314005
Census Tract 3143.01; Harris County; Texas,2037,50266,48,201,314301
Census Tract 3143.02; Harris County; Texas,1429,41815,48,201,314302
Census Tract 3144.01; Harris County; Texas,1439,47284,48,201,314401
Census Tract 3144.02; Harris County; Texas,2248,77813,48,201,314402
Census Tract 3201; Harris County; Texas,2441,55893,48,201,320100
Census Tract 3202.01; Harris County; Texas,3010,41863,48,201,320201
Census Tract 3202.02; Harris County; Texas,3290,32563,48,201,320202
Census Tract 3205; Harris County; Texas,4073,68433,48,201,320500
Census Tract 3206.01; Harris County; Texas,2135,47632,48,201,320601
Census Tract 3206.02; Harris County; Texas,4704,47667,48,201,320602
Census Tract 3207; Harris County; Texas,3850,50321,48,201,320700
Census Tract 3208; Harris County; Texas,4891,41387,48,201,320800
Census Tract 3209.01; Harris County; Texas,3641,58357,48,201,320901
Census Tract 3209.02; Harris County; Texas,3459,91707,48,201,320902
Census Tract 3210.01; Harris County; Texas,2836,42107,48,201,321001
Census Tract 3210.02; Harris County; Texas,5077,59496,48,201,321002
Census Tract 3211.01; Harris County; Texas,3620,76731,48,201,321101
Census Tract 3211.02; Harris County; Texas,3770,71534,48,201,321102
Census Tract 3212; Harris County; Texas,4998,38256,48,201,321200
Census Tract 3213.01; Harris County; Texas,4000,31681,48,201,321301
Census Tract 3213.02; Harris County; Texas,2166,66156,48,201,321302
Census Tract 3214.01; Harris County; Texas,3577,51946,48,201,321401
Census Tract 3214.02; Harris County; Texas,4913,74254,48,201,321402
Census Tract 3215; Harris County; Texas,2636,41267,48,201,321500
Census Tract 3216; Harris County; Texas,6653,80821,48,201,321600
Census Tract 3217; Harris County; Texas,3243,73970,48,201,321700
Census Tract 3218; Harris County; Texas,3923,72984,48,201,321800
Census Tract 3219; Harris County; Texas,5886,63944,48,201,321900
Census Tract 3220; Harris County; Texas,4350,46510,48,201,322000
Census Tract 3221; Harris County; Texas,3804,55257,48,201,322100
Census Tract 3222; Harris County; Texas,1433,55857,48,201,322200
Census Tract 3226; Harris County; Texas,4884,71265,48,201,322600
Census Tract 3227.01; Harris County; Texas,2368,68744,48,201,322701
Census Tract 3227.02; Harris County; Texas,4326,83750,48,201,322702
Census Tract 3228; Harris County; Texas,5849,63244,48,201,322800
Census Tract 3229; Harris County; Texas,3550,53981,48,201,322900
Census Tract 3230; Harris County; Texas,7013,43546,48,201,323000
Census Tract 3231; Harris County; Texas,3739,46859,48,201,323100
Census Tract 3232; Harris County; Texas,5561,72629,48,201,323200
Census Tract 3233; Harris County; Texas,2870,27404,48,201,323300
Census Tract 3234; Harris County; Texas,7918,60362,48,201,323400
Census Tract 3235; Harris County; Texas,5463,41327,48,201,323500
Census Tract 3236.01; Harris County; Texas,4245,47472,48,201,323601
Census Tract 3236.02; Harris County; Texas,4556,81146,48,201,323602
Census Tract 3237.01; Harris County; Texas,4504,54020,48,201,323701
Census Tract 3237.02; Harris County; Texas,2873,62931,48,201,323702
Census Tract 3238.01; Harris County; Texas,3920,82097,48,201,323801
Census Tract 3238.02; Harris County; Texas,5068,50250,48,201,323802
Census Tract 3239; Harris County; Texas,2967,24008,48,201,323900
Census Tract 3240; Harris County; Texas,5962,82500,48,201,324000
Census Tract 3241.01; Harris County; Texas,5300,51384,48,201,324101
Census Tract 3241.02; Harris County; Texas,0,-666666666,48,201,324102
Census Tract 3242; Harris County; Texas,890,42895,48,201,324200
Census Tract 3301.01; Harris County; Texas,5296,71056,48,201,330101
Census Tract 3301.02; Harris County; Texas,2435,41938,48,201,330102
Census Tract 3302; Harris County; Texas,5682,53903,48,201,330200
Census Tract 3303.01; Harris County; Texas,8266,69421,48,201,330301
Census Tract 3303.02; Harris County; Texas,5073,58808,48,201,330302
Census Tract 3303.03; Harris County; Texas,4858,57679,48,201,330303
Census Tract 3304; Harris County; Texas,4601,46906,48,201,330400
Census Tract 3305; Harris County; Texas,4623,64954,48,201,330500
Census Tract 3306; Harris County; Texas,7838,62102,48,201,330600
Census Tract 3307; Harris County; Texas,8944,66130,48,201,330700
Census Tract 3308.01; Harris County; Texas,5741,71756,48,201,330801
Census Tract 3308.02; Harris County; Texas,11447,95125,48,201,330802
Census Tract 3309.01; Harris County; Texas,10543,75263,48,201,330901
Census Tract 3309.02; Harris County; Texas,3131,49613,48,201,330902
Census Tract 3311; Harris County; Texas,3979,53974,48,201,331100
Census Tract 3312; Harris County; Texas,5051,29650,48,201,331200
Census Tract 3313; Harris County; Texas,4823,49222,48,201,331300
Census Tract 3314; Harris County; Texas,3281,21580,48,201,331400
Census Tract 3315.01; Harris County; Texas,4601,73125,48,201,331501
Census Tract 3315.02; Harris County; Texas,5526,54703,48,201,331502
Census Tract 3316.02; Harris County; Texas,3199,61250,48,201,331602
Census Tract 3316.03; Harris County; Texas,4975,46563,48,201,331603
Census Tract 3316.04; Harris County; Texas,2481,36205,48,201,331604
Census Tract 3317; Harris County; Texas,4034,39167,48,201,331700
Census Tract 3318; Harris County; Texas,3806,41375,48,201,331800
Census Tract 3319; Harris County; Texas,3314,52926,48,201,331900
Census Tract 3320; Harris County; Texas,6092,28750,48,201,332000
Census Tract 3321; Harris County; Texas,3447,44077,48,201,332100
Census Tract 3322; Harris County; Texas,4882,28274,48,201,332200
Census Tract 3323; Harris County; Texas,2789,42847,48,201,332300
Census Tract 3324; Harris County; Texas,3619,48137,48,201,332400
Census Tract 3325; Harris County; Texas,3701,85595,48,201,332500
